image dimensions 100x72,,,,
Time elapsed was 356649ns or 0.000356649s,0.000356649,s,356649,ns
image dimensions 100x72,,,,
Time elapsed was 344558ns or 0.000344558s,0.000344558,s,344558,ns
image dimensions 100x72,,,,
Time elapsed was 207277ns or 0.000207277s,0.000207277,s,207277,ns
image dimensions 100x72,,,,
Time elapsed was 200893ns or 0.000200893s,0.000200893,s,200893,ns
image dimensions 100x72,,,,
Time elapsed was 222758ns or 0.000222758s,0.000222758,s,222758,ns
image dimensions 100x72,,,,
Time elapsed was 179015ns or 0.000179015s,0.000179015,s,179015,ns
image dimensions 100x72,,,,
Time elapsed was 96444ns or 0.000096444s,9.64E-05,s,96444,ns
image dimensions 100x72,,,,
Time elapsed was 243214ns or 0.000243214s,0.000243214,s,243214,ns
image dimensions 100x72,,,,
Time elapsed was 189098ns or 0.000189098s,0.000189098,s,189098,ns
image dimensions 100x72,,,,
Time elapsed was 117720ns or 0.000117720s,0.00011772,s,117720,ns
,,,,
Total Mean,0.000215763,s,,
